"2017年06月21日","295,047","303,346","314,442","295,047","-2.74"
"2017年06月20日","303,346","299,208","312,964","285,688","1.38"
"2017年06月19日","299,208","274,511","300,747","274,511","9.00"
"2017年06月18日","274,511","291,365","321,302","274,156","-5.78"
"2017年06月17日","291,365","279,492","321,302","260,555","4.25"
"2017年06月16日","279,492","273,002","310,151","242,276","-1.72"
"2017年06月15日","284,375","308,614","336,948","241,493","-7.85"
"2017年06月14日","308,614","320,694","335,307","284,249","-3.77"
"2017年06月13日","320,694","309,888","361,345","297,214","3.49"
"2017年06月12日","309,888","332,419","361,345","296,128","-6.78"
"2017年06月11日","332,419","324,000","339,535","315,294","2.60"
"2017年06月10日","324,000","321,900","350,177","315,331","0.65"
"2017年06月09日","321,900","317,275","348,936","304,494","1.46"
"2017年06月08日","317,275","320,347","350,599","298,080","-0.96"
"2017年06月07日","320,347","320,283","350,599","298,729","0.02"
"2017年06月06日","320,283","304,546","337,159","288,042","5.17"
"2017年06月05日","304,546","296,356","319,043","275,573","2.76"
"2017年06月04日","296,356","282,821","298,950","267,351","4.79"
"2017年06月03日","282,821","278,197","298,951","278,187","1.66"
"2017年06月02日","278,197","271,102","307,974","260,000","2.62"
"2017年06月01日","271,102","262,456","312,183","249,172","3.29"
"2017年05月31日","262,456","267,155","284,040","248,301","-1.76"
"2017年05月30日","267,155","264,010","291,657","240,168","1.19"
"2017年05月29日","264,010","249,256","297,161","238,300","5.92"
"2017年05月28日","249,256","252,700","278,525","217,596","-1.36"
"2017年05月27日","252,700","260,017","322,539","217,623","-2.81"
"2017年05月26日","260,017","269,662","382,414","255,146","-3.58"
"2017年05月25日","269,662","286,397","382,689","254,061","-5.84"
"2017年05月24日","286,397","254,475","292,120","242,576","12.54"
"2017年05月23日","254,475","249,444","281,490","225,120","2.02"
"2017年05月22日","249,444","226,666","258,492","224,779","10.05"
"2017年05月21日","226,666","231,959","249,390","223,865","-2.28"
"2017年05月20日","231,959","224,118","232,332","216,889","3.50"
"2017年05月19日","224,118","221,809","232,341","209,003","1.04"
"2017年05月18日","221,809","220,621","222,545","198,533","0.54"
"2017年05月17日","220,621","203,828","238,779","186,207","8.24"
"2017年05月16日","203,828","200,102","205,840","192,235","1.86"
"2017年05月15日","200,102","202,196","206,576","193,029","-1.04"
"2017年05月14日","202,196","201,502","206,651","191,048","0.34"
"2017年05月13日","201,502","197,841","212,825","191,048","1.85"
"2017年05月12日","197,841","210,125","231,569","195,996","-5.85"
"2017年05月11日","210,125","203,548","231,569","193,533","3.23"
"2017年05月10日","203,548","195,542","214,031","187,122","4.09"
"2017年05月09日","195,542","174,375","205,634","163,026","12.14"
"2017年05月08日","174,375","176,601","184,227","170,409","-1.26"
"2017年05月07日","176,601","175,887","180,363","169,492","0.41"
"2017年05月06日","175,887","172,305","182,751","169,992","2.08"
"2017年05月05日","172,305","180,000","213,063","161,878","-4.28"
"2017年05月04日","180,000","168,757","214,444","161,000","6.66"
"2017年05月03日","168,757","160,380","169,149","146,856","5.22"
"2017年05月02日","160,380","156,053","169,267","146,856","2.77"
"2017年05月01日","156,053","147,368","158,139","144,758","5.89"
"2017年04月30日","147,368","146,668","149,095","144,758","0.48"
"2017年04月29日","146,668","147,757","150,513","144,758","-0.74"
"2017年04月28日","147,757","148,531","150,747","142,747","-0.52"
"2017年04月27日","148,531","142,180","149,350","141,279","4.47"
"2017年04月26日","142,180","140,115","146,103","138,350","1.47"
"2017年04月25日","140,115","137,283","141,483","134,411","2.06"
"2017年04月24日","137,283","137,550","137,827","132,000","-0.19"
"2017年04月23日","137,550","134,945","137,867","131,235","1.28"
"2017年04月22日","135,813","135,277","137,121","131,308","0.40"
"2017年04月21日","135,277","135,649","137,475","130,671","-0.27"
"2017年04月20日","135,649","129,682","136,245","129,250","4.60"
"2017年04月19日","129,682","128,894","132,739","118,170","-0.32"
"2017年04月18日","130,098","132,146","143,019","118,170","-1.55"
"2017年04月17日","132,146","128,155","132,355","127,647","3.11"
"2017年04月16日","128,155","128,529","140,279","127,906","-0.29"
"2017年04月15日","128,529","131,878","140,031","128,510","-2.54"
"2017年04月14日","131,878","126,876","141,105","125,397","3.94"
"2017年04月13日","126,876","132,432","138,697","120,890","-4.19"
"2017年04月12日","132,432","132,584","135,094","130,271","-0.11"
"2017年04月11日","132,584","132,315","136,003","125,000","0.20"
"2017年04月10日","132,315","131,130","137,101","125,000","0.90"
"2017年04月09日","131,130","128,973","133,719","128,198","1.67"
"2017年04月08日","128,973","131,877","132,814","121,165","-2.27"
"2017年04月07日","131,974","130,836","132,751","121,165","0.87"
"2017年04月06日","130,836","122,931","131,273","122,352","6.43"
"2017年04月05日","122,931","125,909","129,622","122,086","-2.37"
"2017年04月04日","125,909","127,783","129,700","121,753","-1.47"
"2017年04月03日","127,783","121,269","129,853","119,369","5.37"
"2017年04月02日","121,269","120,274","122,304","119,129","0.90"
"2017年04月01日","120,185","120,420","125,000","114,646","-0.20"
"2017年03月31日","120,420","115,078","121,796","108,000","4.64"
"2017年03月30日","115,078","115,506","117,074","113,071","-0.37"
"2017年03月29日","115,506","114,658","118,518","112,336","0.74"
"2017年03月28日","114,658","118,017","127,059","107,633","-2.85"
"2017年03月27日","118,017","107,145","118,017","104,678","10.15"
"2017年03月26日","107,145","106,178","111,136","100,529","0.91"
"2017年03月25日","106,178","114,536","114,536","100,518","-7.30"
"2017年03月24日","114,536","114,611","118,784","106,326","-0.07"
"2017年03月23日","114,611","123,251","127,777","113,536","-6.72"
"2017年03月22日","122,865","124,226","127,946","112,372","-1.10"
"2017年03月21日","124,226","117,932","128,281","114,663","5.34"
"2017年03月20日","117,932","123,983","126,501","111,704","-4.88"
"2017年03月19日","123,983","118,881","137,684","111,591","4.29"
"2017年03月18日","118,881","127,732","137,955","113,341","-6.93"
"2017年03月17日","127,732","132,078","145,908","126,760","-3.29"
"2017年03月16日","132,078","142,555","145,996","132,051","-7.35"
"2017年03月15日","142,555","143,935","152,097","141,107","-0.96"
"2017年03月14日","143,935","141,174","146,139","139,659","1.96"
"2017年03月13日","141,174","139,310","146,424","133,511","1.34"
"2017年03月12日","139,310","134,522","141,149","133,116","3.56"
"2017年03月11日","134,522","126,281","149,242","123,985","6.53"
"2017年03月10日","126,281","144,758","149,029","122,193","-12.76"
"2017年03月09日","144,758","130,884","144,758","126,264","10.60"
"2017年03月08日","130,884","140,775","146,659","130,884","-7.03"
"2017年03月07日","140,775","148,097","148,334","138,723","-4.94"
"2017年03月06日","148,097","146,435","148,192","135,216","4.18"
"2017年03月05日","142,160","144,144","147,472","140,725","-1.38"
"2017年03月04日","144,144","146,572","147,902","135,758","-1.66"
"2017年03月03日","146,572","142,931","148,451","135,675","2.55"
"2017年03月02日","142,931","137,788","145,018","132,404","3.73"
"2017年03月01日","137,788","134,747","137,788","124,773","2.26"
"2017年02月28日","134,747","133,308","136,911","130,456","1.08"
"2017年02月27日","133,308","131,550","134,078","129,348","1.34"
"2017年02月26日","131,550","119,021","133,730","119,021","10.53"
"2017年02月25日","119,021","132,465","135,910","119,021","-10.15"
"2017年02月24日","132,465","129,842","137,981","120,000","2.02"
"2017年02月23日","129,842","126,921","130,999","120,000","2.30"
"2017年02月22日","126,921","126,710","127,846","116,391","0.17"
"2017年02月21日","126,710","122,236","127,029","117,384","3.66"
"2017年02月20日","122,236","119,953","122,236","117,557","1.90"
"2017年02月19日","119,953","119,237","120,600","117,740","0.60"
"2017年02月18日","119,237","119,621","120,386","116,870","-0.32"
"2017年02月17日","119,621","117,793","120,364","115,234","1.55"
"2017年02月16日","117,793","115,011","118,589","113,911","2.42"
"2017年02月15日","115,011","113,435","116,940","113,435","1.39"
"2017年02月14日","113,435","113,723","116,439","105,153","-0.25"
"2017年02月13日","113,723","114,136","118,554","110,554","-0.36"
"2017年02月12日","114,136","113,186","116,195","112,416","0.84"
"2017年02月11日","113,186","113,220","115,548","108,238","-0.03"
"2017年02月10日","113,220","113,402","122,519","108,226","-0.16"
"2017年02月09日","113,402","116,776","122,290","107,105","-2.89"
"2017年02月08日","116,776","118,068","121,771","114,123","-1.09"
"2017年02月07日","118,068","114,746","118,774","111,772","2.89"
"2017年02月06日","114,746","113,506","115,701","113,112","1.09"
"2017年02月05日","113,506","114,385","115,879","112,107","-0.77"
"2017年02月04日","114,385","114,659","115,351","111,859","-0.24"
"2017年02月03日","114,659","112,163","115,677","109,301","2.23"
"2017年02月02日","112,163","111,019","112,667","107,061","1.03"
"2017年02月01日","111,019","108,192","111,618","99,136","2.61"
"2017年01月31日","108,192","104,284","108,268","99,136","3.75"
"2017年01月30日","104,284","104,916","105,471","102,878","-0.60"
"2017年01月29日","104,916","105,252","106,315","104,718","-0.32"
"2017年01月28日","105,252","104,000","106,315","103,957","1.20"
"2017年01月27日","104,000","103,490","106,014","102,244","0.49"
"2017年01月26日","103,490","100,057","105,420","99,920","3.43"
"2017年01月25日","100,057","101,589","104,243","100,000","-1.51"
"2017年01月24日","101,589","103,728","104,698","100,952","-2.06"
"2017年01月23日","103,728","104,470","105,811","99,967","-0.71"
"2017年01月22日","104,470","105,004","106,564","95,296","-0.51"
"2017年01月21日","105,004","103,508","106,001","100,557","1.45"
"2017年01月20日","103,508","103,643","105,818","100,307","-0.13"
"2017年01月19日","103,643","99,016","105,316","98,331","4.67"
"2017年01月18日","99,016","102,392","105,363","93,754","-3.30"
"2017年01月17日","102,392","94,857","103,061","90,691","7.94"
"2017年01月16日","94,857","92,499","95,406","88,312","2.55"
"2017年01月15日","92,499","91,614","102,590","88,284","0.97"
"2017年01月14日","91,614","93,878","102,590","89,315","-2.41"
"2017年01月13日","93,878","93,497","94,444","88,273","0.41"
"2017年01月12日","93,497","88,836","105,975","87,043","5.25"
"2017年01月11日","88,836","105,266","106,858","88,645","-15.61"
"2017年01月10日","105,266","106,400","106,400","102,437","-1.07"
"2017年01月09日","106,400","110,455","110,746","101,983","-3.67"
"2017年01月08日","110,455","105,381","112,326","95,069","4.81"
"2017年01月07日","105,381","108,571","114,603","95,080","-2.94"
"2017年01月06日","108,571","112,744","137,394","98,672","-3.70"
"2017年01月05日","112,744","130,010","139,065","101,769","-13.28"
"2017年01月04日","130,010","115,396","130,167","114,740","12.66"
"2017年01月03日","115,396","116,707","121,367","114,291","-1.12"
"2017年01月02日","116,707","114,101","118,165","111,027","2.28"
"2017年01月01日","114,101","111,316","114,594","108,568","2.50"
"2016年12月31日","111,316","112,143","113,650","109,871","-0.74"
"2016年12月30日","112,143","113,740","114,678","108,771","-1.40"
"2016年12月29日","113,740","111,750","114,001","106,494","1.78"
"2016年12月28日","111,750","107,088","112,878","100,424","4.35"
"2016年12月27日","107,088","105,593","113,651","100,114","1.42"
"2016年12月26日","105,593","103,346","105,629","96,288","2.17"
"2016年12月25日","103,346","103,488","108,111","96,472","-0.14"
"2016年12月24日","103,488","104,410","108,121","100,550","-0.88"
"2016年12月23日","104,410","98,431","105,411","98,123","6.07"
"2016年12月22日","98,431","96,314","104,538","93,415","2.20"
"2016年12月21日","96,314","93,483","104,538","92,402","3.03"
"2016年12月20日","93,483","92,544","93,700","90,492","1.02"
"2016年12月19日","92,544","92,139","92,766","91,653","0.44"
"2016年12月18日","92,139","93,393","98,000","92,121","-1.34"
"2016年12月17日","93,393","92,445","93,761","90,878","1.03"
"2016年12月16日","92,445","92,228","98,000","90,094","0.24"
"2016年12月15日","92,228","90,959","98,000","90,092","1.39"
"2016年12月14日","90,959","89,402","97,367","88,368","1.74"
"2016年12月13日","89,402","89,207","97,472","87,456","0.22"
"2016年12月12日","89,207","89,011","90,003","87,440","0.22"
"2016年12月11日","89,011","88,421","89,244","87,666","0.67"
"2016年12月10日","88,421","88,914","89,591","86,855","-0.66"
"2016年12月09日","89,008","86,590","89,195","86,065","2.79"
"2016年12月08日","86,590","87,083","87,913","84,576","-0.57"
"2016年12月07日","87,083","87,262","88,031","84,584","-0.20"
"2016年12月06日","87,262","84,778","87,667","84,207","2.93"
"2016年12月05日","84,778","87,128","88,634","84,126","-2.70"
"2016年12月04日","87,128","86,317","87,216","85,083","0.94"
"2016年12月03日","86,317","87,216","93,917","84,875","-1.03"
"2016年12月02日","87,216","85,711","93,917","80,161","1.76"
"2016年12月01日","85,711","80,161","86,051","80,161","6.92"
"2016年11月30日","80,161","81,475","84,361","80,161","-1.61"
"2016年11月29日","81,475","81,477","83,061","80,161","-0.00"
"2016年11月28日","81,477","82,249","82,898","80,161","-0.94"
"2016年11月27日","82,249","82,425","83,192","81,684","-0.21"
"2016年11月26日","82,425","82,873","83,445","82,148","-0.54"
"2016年11月25日","82,873","82,960","84,252","80,161","-0.10"
"2016年11月24日","82,960","81,664","84,036","81,620","1.59"
"2016年11月23日","81,664","82,584","83,801","79,491","-1.11"
"2016年11月22日","82,584","81,192","83,129","78,639","1.71"
"2016年11月21日","81,192","79,437","81,797","79,119","2.21"
"2016年11月20日","79,437","82,878","82,878","78,203","-4.15"
"2016年11月19日","82,878","82,791","82,977","80,400","0.10"
"2016年11月18日","82,791","80,039","82,878","78,011","3.44"
"2016年11月17日","80,039","78,894","81,456","76,800","1.45"
"2016年11月16日","78,894","77,887","81,001","76,555","1.29"
"2016年11月15日","77,887","75,497","77,938","75,309","3.17"
"2016年11月14日","75,497","75,261","77,074","73,860","0.31"
"2016年11月13日","75,261","76,024","77,489","73,431","-1.00"
"2016年11月12日","76,024","75,844","77,480","75,487","0.24"
"2016年11月11日","75,844","75,416","77,766","75,110","0.57"
"2016年11月10日","75,416","74,983","78,171","74,151","0.58"
"2016年11月09日","74,983","73,043","78,250","71,477","0.27"
"2016年11月08日","74,778","72,665","75,039","70,687","2.91"
"2016年11月07日","72,665","73,235","73,898","67,554","-0.78"
"2016年11月06日","73,235","72,379","73,731","68,000","1.18"
"2016年11月05日","72,379","72,427","73,934","70,399","-0.07"
"2016年11月04日","72,427","76,000","76,913","68,000","-4.70"
"2016年11月03日","76,000","76,089","77,487","71,121","-0.12"
"2016年11月02日","76,089","70,473","76,089","70,045","7.97"
"2016年11月01日","70,473","72,099","75,539","70,440","-2.26"
"2016年10月31日","72,099","75,624","76,052","70,835","-4.66"
"2016年10月30日","75,624","74,966","76,079","71,278","0.88"
"2016年10月29日","74,966","70,904","74,993","69,809","5.73"
"2016年10月28日","70,904","71,439","73,536","69,210","-0.75"
"2016年10月27日","71,439","69,829","71,895","67,687","2.31"
"2016年10月26日","69,829","67,668","70,012","63,632","3.19"
"2016年10月25日","67,668","66,643","68,836","66,611","1.54"
"2016年10月24日","66,643","67,504","67,758","65,610","-1.27"
"2016年10月23日","67,504","66,033","67,515","65,367","2.23"
"2016年10月22日","66,033","65,351","67,279","64,294","1.04"
"2016年10月21日","65,351","63,890","66,733","63,778","2.29"
"2016年10月20日","63,890","64,817","66,594","63,868","-1.43"
"2016年10月19日","64,817","65,962","69,355","64,032","-1.73"
